Location
"[37.762476819591, -122.411819003679]"
"[37.7487621514792, -122.414326828755]"
"[37.763690871096, -122.390457386016]"
"[37.7600996654893, -122.412375997322]"
"[37.7495331145231, -122.413116536729]"
"[37.7875984155546, -122.404090439434]"
"[37.7650271638822, -122.41550777249]"
"[37.7644523927651, -122.412671891645]"
"[37.7479549645678, -122.395797384916]"
"[37.7598258374358, -122.409202915083]"
"[37.7499452857571, -122.400420884438]"
"[37.7537174169021, -122.388359021044]"
"[37.7194317184807, -122.398139506914]"
"[37.7740748410583, -122.390668458146]"
"[37.7743980109403, -122.415658655811]"
"[37.772039113525, -122.395974631586]"
"[37.7365721824187, -122.378209667202]"
"[37.7544764341075, -122.412855363284]"
"[37.7743376663696, -122.394053286313]"
"[37.7461044517152, -122.400361834965]"
"[37.710837931141, -122.393543363013]"
"[37.7475862762565, -122.398865700796]"
"[37.7908854635019, -122.396685875811]"
"[37.7690871267671, -122.411527667132]"
"[37.7615718487197, -122.409444718958]"
"[37.7628149532289, -122.413211513673]"
"[37.7478431533724, -122.394575214957]"
"[37.717779453627, -122.391654765179]"
"[37.7187880790201, -122.39810598775]"
"[37.7629143116115, -122.408951161538]"
"[37.7525772700714, -122.406806417152]"
"[37.7641601282203, -122.388142262128]"
"[37.7647453507195, -122.41656213947]"
"[37.790485146128, -122.40094044069]"
"[37.7806472100484, -122.394629181662]"
"[37.7387268039871, -122.406736029905]"
"[37.77764220851, -122.393418145932]"
"[37.7631083253767, -122.413454890022]"
"[37.7888771172666, -122.420091020038]"
"[37.7844207368995, -122.418405351782]"
"[37.7791572053411, -122.411615430519]"
"[37.7546149514892, -122.39038813202]"
"[37.7456930261204, -122.390714584821]"
"[37.7609571682785, -122.421824199358]"
"[37.7765500428191, -122.446307635558]"
"[37.7951055609814, -122.400876633726]"
"[37.7556370098323, -122.405101930379]"
"[37.7447521916164, -122.385679248721]"
"[37.7824235632947, -122.393236399398]"
"[37.7884570288289, -122.399884160566]"
"[37.7898269187633, -122.421126289056]"
"[37.7815967457602, -122.43485778844]"
"[37.7807231475444, -122.447789640478]"
"[37.7683069928, -122.412000336092]"
"[37.7100033342894, -122.471411913129]"
"[37.7485497942591, -122.416170662008]"
"[37.7760390626659, -122.424175571492]"
"[37.7932137316634, -122.397043036718]"
"[37.793392977019, -122.402313503682]"
"[37.7469482955131, -122.403390960313]"
"[37.7865580501799, -122.40103337535]"
"[37.7899138671344, -122.405232892524]"
"[37.7828341636984, -122.408837940446]"
"[37.7831754207336, -122.409568315547]"
"[37.7884570288289, -122.399884160566]"
"[0, 0]"
"[0, 0]"
"[37.7509316476402, -122.411419966206]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[0, 0]"
"[37.7678334279142, -122.401225236458]"
"[37.7922616341775, -122.403485955391]"
"[37.7934465278161, -122.400343675592]"
"[37.7905483181832, -122.400333673679]"
"[0, 0]"
"[37.7915578641549, -122.391671499786]"
"[37.7879000978181, -122.394594036205]"
"[37.7713187056498, -122.442307240009]"
"[37.7762924615221, -122.416245279093]"
"[37.7710652550966, -122.442387391648]"
"[0, 0]"
"[0, 0]"
"[37.7711298628186, -122.443517164645]"
"[0, 0]"
"[37.7917572059444, -122.398897636892]"
"[37.7898898782098, -122.399930411351]"
"[0, 0]"
"[37.7898898782098, -122.399930411351]"
"[37.7931486269835, -122.402567175578]"
"[37.7584372443741, -122.418678308229]"
"[37.7917572059444, -122.398897636892]"
"[37.7938715071506, -122.394865238621]"
"[37.7834700660829, -122.408040736138]"
"[37.792346385148, -122.402385322794]"
"[37.7772235984329, -122.417361361253]"
"[37.7961233802521, -122.397273204338]"
"[37.8002209155922, -122.399569018577]"
"[37.7767362127501, -122.416394930077]"
"[37.786904919457, -122.390920262962]"
"[37.7862367744654, -122.389066205605]"
"[37.7935769332618, -122.403229876701]"
"[37.766124694427, -122.39547306227]"
"[37.7666898573867, -122.39718232278]"
